English Name,Bird Song
Red-chested Cuckoo,https://xeno-canto.org/287439/download
Red-chested Cuckoo,https://xeno-canto.org/287436/download
Red-chested Cuckoo,https://xeno-canto.org/286735/download
Red-chested Cuckoo,https://xeno-canto.org/282696/download
Red-chested Cuckoo,https://xeno-canto.org/263444/download
Red-chested Cuckoo,https://xeno-canto.org/263044/download
Red-chested Cuckoo,https://xeno-canto.org/263039/download
Red-chested Cuckoo,https://xeno-canto.org/157063/download
Red-chested Cuckoo,https://xeno-canto.org/138922/download
Red-chested Cuckoo,https://xeno-canto.org/137777/download
Red-chested Cuckoo,https://xeno-canto.org/137557/download
Red-chested Cuckoo,https://xeno-canto.org/701672/download
Speckled Pigeon,https://xeno-canto.org/64981/download
Afep Pigeon,https://xeno-canto.org/612235/download
Afep Pigeon,https://xeno-canto.org/263446/download
Afep Pigeon,https://xeno-canto.org/137092/download
Afep Pigeon,https://xeno-canto.org/137091/download
Western Bronze-naped Pigeon,https://xeno-canto.org/430667/download
Western Bronze-naped Pigeon,https://xeno-canto.org/700620/download
Western Bronze-naped Pigeon,https://xeno-canto.org/246562/download
Western Bronze-naped Pigeon,https://xeno-canto.org/245959/download
Western Bronze-naped Pigeon,https://xeno-canto.org/739598/download
Western Bronze-naped Pigeon,https://xeno-canto.org/739597/download
Western Bronze-naped Pigeon,https://xeno-canto.org/246125/download
Western Bronze-naped Pigeon,https://xeno-canto.org/245957/download
Dusky Turtle Dove,https://xeno-canto.org/740015/download
Mourning Collared Dove,https://xeno-canto.org/740014/download
Mourning Collared Dove,https://xeno-canto.org/252765/download
Mourning Collared Dove,https://xeno-canto.org/740013/download
Mourning Collared Dove,https://xeno-canto.org/740012/download
Mourning Collared Dove,https://xeno-canto.org/157011/download
Red-eyed Dove,https://xeno-canto.org/740016/download
Red-eyed Dove,https://xeno-canto.org/282055/download
Red-eyed Dove,https://xeno-canto.org/116737/download
Red-eyed Dove,https://xeno-canto.org/64968/download
Red-eyed Dove,https://xeno-canto.org/64967/download
Red-eyed Dove,https://xeno-canto.org/64966/download
Red-eyed Dove,https://xeno-canto.org/64965/download
Red-eyed Dove,https://xeno-canto.org/288541/download
Red-eyed Dove,https://xeno-canto.org/282033/download
Red-eyed Dove,https://xeno-canto.org/233061/download
Ring-necked Dove,https://xeno-canto.org/740011/download
Ring-necked Dove,https://xeno-canto.org/252346/download
Ring-necked Dove,https://xeno-canto.org/218088/download
Ring-necked Dove,https://xeno-canto.org/252760/download
Ring-necked Dove,https://xeno-canto.org/166372/download
Vinaceous Dove,https://xeno-canto.org/740017/download
Vinaceous Dove,https://xeno-canto.org/83802/download
Vinaceous Dove,https://xeno-canto.org/83792/download
Vinaceous Dove,https://xeno-canto.org/289279/download
Vinaceous Dove,https://xeno-canto.org/289274/download
Vinaceous Dove,https://xeno-canto.org/289266/download
Laughing Dove,https://xeno-canto.org/288799/download
Emerald-spotted Wood Dove,https://xeno-canto.org/221545/download
Blue-spotted Wood Dove,https://xeno-canto.org/157136/download
Tambourine Dove,https://xeno-canto.org/233064/download
Tambourine Dove,https://xeno-canto.org/156754/download
Tambourine Dove,https://xeno-canto.org/292241/download
Tambourine Dove,https://xeno-canto.org/292239/download
Tambourine Dove,https://xeno-canto.org/291810/download
Tambourine Dove,https://xeno-canto.org/281968/download
Tambourine Dove,https://xeno-canto.org/157096/download
